mod,noun,full
major,feature,major feature
major,focus,major focus
major,impact,major impact
major,implication,major implication
major,influence,major influence
major,issue,major issue
major,part,major part
major,problem,major problem
major,reason,major reason
major,role,major role
major,shift,major shift
major,source,major source
major,theme,major theme
make,adjustment,make adjustment
make,argument,make argument
make,arrangement,make arrangement
make,assessment,make assessment
make,assumption,make assumption
make,available,make available
make,aware,make aware
make,comment,make comment
make,contact,make contact
make,contribution,make contribution
make,distinction,make distinction
make,explicit,make explicit
make,impact,make impact
make,impression,make impression
make,judgement,make judgement
make,live,make live
make,observation,make observation
make,policy,make policy
make,prediction,make prediction
make,provision,make provision
make,recommendation,make recommendation
make,statement,make statement
make,transition,make transition
make,visible,make visible
male,dominance,male dominance
manual,worker,manual worker
manufacturing,sector,manufacturing sector
mark,contrast,mark contrast
markedly,different,markedly different
maximum,duration,maximum duration
mean,score,mean score
meaningful,way,meaningful way
medical,assistance,medical assistance
medical,treatment,medical treatment
medium,coverage,medium coverage
meet,criterion,meet criterion
meet,expectation,meet expectation
meet,objective,meet objective
meet,requirement,meet requirement
meet,target,meet target
mental,health,mental health
mental,illness,mental illness
mental,state,mental state
methodological,approach,methodological approach
methodological,issue,methodological issue
methodological,problem,methodological problem
metropolitan,area,metropolitan area
middle,income,middle income
middle,management,middle management
migrant,worker,migrant worker
military,action,military action
military,force,military force
military,power,military power
military,service,military service
minimum,level,minimum level
minimum,requirement,minimum requirement
minimum,standard,minimum standard
minimum,value,minimum value
minimum,wage,minimum wage
minor,change,minor change
minor,role,minor role
minority,group,minority group
miss,datum,miss datum
modern,culture,modern culture
modern,method,modern method
modern,society,modern society
modern,technology,modern technology
modify,form,modify form
modify,version,modify version
moral,dilemma,moral dilemma
moral,philosophy,moral philosophy
moral,principle,moral principle
multiple,identity,multiple identity
multiple,source,multiple source
municipal,government,municipal government
mutual,recognition,mutual recognition
mutual,support,mutual support
mutual,trust,mutual trust
mutual,understanding,mutual understanding
mutually,exclusive,mutually exclusive
narrow,definition,narrow definition
narrow,range,narrow range
national,average,national average
national,boundary,national boundary
national,conference,national conference
national,culture,national culture
national,economy,national economy
national,government,national government
national,identity,national identity
national,income,national income
national,institution,national institution
national,interest,national interest
national,language,national language
national,legislation,national legislation
national,market,national market
national,medium,national medium
national,movement,national movement
national,policy,national policy
national,press,national press
national,security,national security
national,survey,national survey
native,speaker,native speaker
natural,condition,natural condition
natural,disaster,natural disaster
natural,environment,natural environment
natural,history,natural history
natural,language,natural language
natural,law,natural law
natural,order,natural order
natural,philosophy,natural philosophy
natural,process,natural process
natural,resource,natural resource
natural,right,natural right
natural,science,natural science
natural,tendency,natural tendency
natural,world,natural world
naturally,occur,naturally occur
necessary,information,necessary information
negative,aspect,negative aspect
negative,attitude,negative attitude
negative,connotation,negative connotation
negative,consequence,negative consequence
negative,correlation,negative correlation
negative,effect,negative effect
negative,feedback,negative feedback
negative,impact,negative impact
negative,outcome,negative outcome
negative,side,negative side
negative,stereotype,negative stereotype
negative,value,negative value
negative,view,negative view
new,initiative,new initiative
new,insight,new insight
new,perspective,new perspective
newly,emerge,newly emerge
newly,establish,newly establish
next,decade,next decade
next,generation,next generation
next,phase,next phase
normal,condition,normal condition
normal,development,normal development
normal,distribution,normal distribution
normal,practice,normal practice
notable,exception,notable exception
nuclear,energy,nuclear energy
nuclear,family,nuclear family
nuclear,power,nuclear power
nuclear,war,nuclear war
nuclear,weapon,nuclear weapon
numerical,datum,numerical datum
numerical,value,numerical value
numerous,study,numerous study
objective,criterion,objective criterion
objective,reality,objective reality
obtain,datum,obtain datum
obtain,information,obtain information
obtain,result,obtain result
obvious,difference,obvious difference
obvious,example,obvious example
obvious,point,obvious point
obvious,reason,obvious reason
occur,frequently,occur frequently
occur,naturally,occur naturally
offer,insight,offer insight
offer,opportunity,offer opportunity
official,statistic,official statistic
ongoing,debate,ongoing debate
ongoing,process,ongoing process
online,access,online access
online,database,online database
online,journal,online journal
online,version,online version
open,access,open access
opening,chapter,opening chapter
opening,section,opening section
opinion,leader,opinion leader
optimal,solution,optimal solution
oral,history,oral history
oral,presentation,oral presentation
organise,principle,organise principle
organizational,structure,organizational structure
original,author,original author
original,context,original context
original,datum,original datum
original,intent,original intent
original,meaning,original meaning
original,model,original model
original,position,original position
original,research,original research
original,source,original source
original,text,original text
original,version,original version
original,work,original work
overall,aim,overall aim
overall,effect,overall effect
overall,level,overall level
overall,performance,overall performance
overall,picture,overall picture
overall,rate,overall rate
overall,structure,overall structure
overwhelming,majority,overwhelming majority
paramount,importance,paramount importance
particular,area,particular area
particular,aspect,particular aspect
particular,emphasis,particular emphasis
particular,feature,particular feature
particular,focus,particular focus
particular,individual,particular individual
particular,meaning,particular meaning
particularly,acute,particularly acute
particularly,apparent,particularly apparent
particularly,appropriate,particularly appropriate
particularly,effective,particularly effective
particularly,evident,particularly evident
particularly,influential,particularly influential
particularly,relevant,particularly relevant
particularly,sensitive,particularly sensitive
particularly,significant,particularly significant
particularly,strike,particularly strike
particularly,successful,particularly successful
particularly,useful,particularly useful
particularly,valuable,particularly valuable
partly,responsible,partly responsible
party,leader,party leader
past,research,past research
pay,employment,pay employment
peace,treaty,peace treaty
perceive,importance,perceive importance
perceive,nee,perceive nee
perceive,threat,perceive threat
perform,function,perform function
perform,study,perform study
perform,task,perform task
personal,choice,personal choice
personal,circumstance,personal circumstance
personal,communication,personal communication
personal,contact,personal contact
personal,control,personal control
personal,experience,personal experience
personal,information,personal information
personal,interest,personal interest
personal,knowledge,personal knowledge
personal,quality,personal quality
personal,relationship,personal relationship
personal,responsibility,personal responsibility
personal,safety,personal safety
personal,space,personal space
physical,activity,physical activity
physical,appearance,physical appearance
physical,characteristic,physical characteristic
physical,contact,physical contact
physical,development,physical development
physical,environment,physical environment
physical,feature,physical feature
physical,health,physical health
physical,need,physical need
physical,presence,physical presence
physical,property,physical property
physical,proximity,physical proximity
physical,science,physical science
physical,space,physical space
physical,symptom,physical symptom
physical,world,physical world
pilot,study,pilot study
pioneering,work,pioneering work
pivotal,role,pivotal role
place,emphasis,place emphasis
planning,stage,planning stage
plausible,explanation,plausible explanation
play,role,play role
political,activism,political activism
political,activity,political activity
political,agenda,political agenda
political,arena,political arena
political,authority,political authority
political,circumstance,political circumstance
political,climate,political climate
political,conflict,political conflict
political,consciousness,political consciousness
political,consensus,political consensus
political,consequence,political consequence
political,consideration,political consideration
political,context,political context
political,culture,political culture
political,debate,political debate
political,dimension,political dimension
political,economy,political economy
political,environment,political environment
political,factor,political factor
political,identity,political identity
political,ideology,political ideology
political,implication,political implication
political,instability,political instability
political,institution,political institution
political,leader,political leader
political,mobilization,political mobilization
political,movement,political movement
political,organization,political organization
political,participation,political participation
political,party,political party
political,philosophy,political philosophy
political,reality,political reality
political,reform,political reform
political,representation,political representation
political,significance,political significance
political,spectrum,political spectrum
political,stability,political stability
political,status,political status
political,structure,political structure
politically,correct,politically correct
popular,culture,popular culture
popular,medium,popular medium
pose,challenge,pose challenge
pose,problem,pose problem
pose,question,pose question
pose,threat,pose threat
positive,action,positive action
positive,aspect,positive aspect
positive,attitude,positive attitude
positive,connotation,positive connotation
positive,correlation,positive correlation
positive,discrimination,positive discrimination
positive,effect,positive effect
positive,feature,positive feature
positive,feedback,positive feedback
positive,image,positive image
positive,impact,positive impact
positive,influence,positive influence
positive,outcome,positive outcome
positive,relationship,positive relationship
positive,result,positive result
positive,value,positive value
positive,view,positive view
possible,consequence,possible consequence
possible,explanation,possible explanation
possible,outcome,possible outcome
possible,source,possible source
potential,benefit,potential benefit
potential,conflict,potential conflict
potential,customer,potential customer
potential,harm,potential harm
potential,impact,potential impact
potential,problem,potential problem
potential,risk,potential risk
potential,source,potential source
potential,value,potential value
potentially,dangerous,potentially dangerous
powerful,force,powerful force
powerful,group,powerful group
powerful,influence,powerful influence
powerful,tool,powerful tool
practical,consideration,practical consideration
practical,difficulty,practical difficulty
practical,issue,practical issue
practical,significance,practical significance
precede,chapter,precede chapter
precede,discussion,precede discussion
precede,section,precede section
precise,definition,precise definition
precise,nature,precise nature
predictive,power,predictive power
preferential,treatment,preferential treatment
preliminary,datum,preliminary datum
preliminary,finding,preliminary finding
preliminary,result,preliminary result
premature,death,premature death
present,argument,present argument
present,challenge,present challenge
present,context,present context
present,datum,present datum
present,difficulty,present difficulty
present,evidence,present evidence
present,summary,present summary
presidential,election,presidential election
previous,chapter,previous chapter
previous,decade,previous decade
previous,discussion,previous discussion
previous,experience,previous experience
previous,generation,previous generation
previous,knowledge,previous knowledge
previous,paragraph,previous paragraph
previous,part,previous part
previous,research,previous research
previous,section,previous section
previous,study,previous study
previous,work,previous work
primarily,responsible,primarily responsible
primary,aim,primary aim
primary,care,primary care
primary,concern,primary concern
primary,datum,primary datum
primary,education,primary education
primary,focus,primary focus
primary,function,primary function
primary,objective,primary objective
primary,purpose,primary purpose
primary,reason,primary reason
primary,research,primary research
primary,responsibility,primary responsibility
primary,source,primary source
primary,task,primary task
prime,example,prime example
prime,time,prime time
principal,source,principal source
prior,experience,prior experience
prior,knowledge,prior knowledge
private,individual,private individual
private,investment,private investment
private,sector,private sector
private,sphere,private sphere
privilege,position,privilege position
problem,area,problem area
process,datum,process datum
process,information,process information
professional,activity,professional activity
professional,body,professional body
professional,colleague,professional colleague
professional,development,professional development
professional,experience,professional experience
professional,knowledge,professional knowledge
professional,practice,professional practice
professional,qualification,professional qualification
professional,staff,professional staff
professional,standard,professional standard
professional,status,professional status
professional,support,professional support
professional,training,professional training
professional,work,professional work
profound,effect,profound effect
profound,impact,profound impact
prominent,feature,prominent feature
prominent,member,prominent member
prominent,role,prominent role
promote,development,promote development
promote,equality,promote equality
propose,legislation,propose legislation
prove,successful,prove successful
prove,useful,prove useful
provide,access,provide access
provide,alternative,provide alternative
provide,assistance,provide assistance
provide,benefit,provide benefit
provide,care,provide care
provide,clue,provide clue
provide,context,provide context
provide,coverage,provide coverage
provide,datum,provide datum
provide,evidence,provide evidence
provide,example,provide example
provide,explanation,provide explanation
provide,feedback,provide feedback
provide,feedback,provide feedback
provide,focus,provide focus
provide,foundation,provide foundation
provide,guidance,provide guidance
provide,illustration,provide illustration
provide,indication,provide indication
provide,information,provide information
provide,insight,provide insight
provide,material,provide material
provide,opportunity,provide opportunity
provide,overview,provide overview
provide,resource,provide resource
provide,service,provide service
provide,source,provide source
provide,summary,provide summary
provide,support,provide support
public,access,public access
public,administration,public administration
public,attitude,public attitude
public,authority,public authority
public,awareness,public awareness
public,debate,public debate
public,discourse,public discourse
public,display,public display
public,domain,public domain
public,expenditure,public expenditure
public,fund,public fund
public,image,public image
public,institution,public institution
public,perception,public perception
public,policy,public policy
public,sector,public sector
public,sphere,public sphere
public,transport,public transport
public,welfare,public welfare
publicly,available,publicly available
publish,article,publish article
publish,journal,publish journal
publish,literature,publish literature
publish,material,publish material
publish,report,publish report
publish,research,publish research
publish,research,publish research
publish,work,publish work
purchase,power,purchase power
qualitative,analysis,qualitative analysis
qualitative,approach,qualitative approach
qualitative,datum,qualitative datum
qualitative,method,qualitative method
qualitative,research,qualitative research
qualitative,study,qualitative study
qualitatively,different,qualitatively different
quantitative,analysis,quantitative analysis
quantitative,approach,quantitative approach
quantitative,datum,quantitative datum
quantitative,method,quantitative method
quantitative,research,quantitative research
quantitative,result,quantitative result
quantitative,study,quantitative study
racial,difference,racial difference
racial,discrimination,racial discrimination
racial,equality,racial equality
racial,group,racial group
racial,stereotype,racial stereotype
radical,change,radical change
radical,critique,radical critique
radical,difference,radical difference
radical,transformation,radical transformation
radically,different,radically different
raise,awareness,raise awareness
raise,issue,raise issue
raise,question,raise question
random,error,random error
random,sample,random sample
random,variable,random variable
rapid,expansion,rapid expansion
rapidly,change,rapidly change
rapidly,grow,rapidly grow
raw,datum,raw datum
reach,agreement,reach agreement
reach,consensus,reach consensus
reach,peak,reach peak
readily,accessible,readily accessible
readily,available,readily available
ready,access,ready access
real,issue,real issue
receive,feedback,receive feedback
receive,information,receive information
receive,treatment,receive treatment
recent,decade,recent decade
recent,evidence,recent evidence
recent,research,recent research
recent,study,recent study
recent,survey,recent survey
reciprocal,relationship,reciprocal relationship
record,datum,record datum
recurrent,theme,recurrent theme
reduce,emission,reduce emission
reduce,likelihood,reduce likelihood
reduce,stress,reduce stress
reflective,practice,reflective practice
reflective,question,reflective question
regional,development,regional development
regional,difference,regional difference
regional,variation,regional variation
regulatory,agency,regulatory agency
regulatory,framework,regulatory framework
relate,activity,relate activity
relate,area,relate area
relate,aspect,relate aspect
relate,factor,relate factor
relate,information,relate information
relate,issue,relate issue
relate,problem,relate problem
relate,question,relate question
relate,topic,relate topic
relative,autonomy,relative autonomy
relative,merit,relative merit
relative,status,relative status
relatively,common,relatively common
relatively,constant,relatively constant
relatively,few,relatively few
relatively,high,relatively high
relatively,little,relatively little
relatively,low,relatively low
relatively,minor,relatively minor
relatively,rare,relatively rare
relatively,recent,relatively recent
relatively,simple,relatively simple
relatively,stable,relatively stable
relatively,straightforward,relatively straightforward
relevant,datum,relevant datum
relevant,factor,relevant factor
relevant,information,relevant information
relevant,issue,relevant issue
relevant,literature,relevant literature
relevant,material,relevant material
reliable,datum,reliable datum
reliable,information,reliable information
religious,belief,religious belief
religious,faith,religious faith
religious,freedom,religious freedom
religious,group,religious group
religious,identity,religious identity
religious,movement,religious movement
religious,practice,religious practice
rely,heavily,rely heavily
remain,constant,remain constant
remain,stable,remain stable
remain,unchanged,remain unchanged
remain,unclear,remain unclear
remarkably,similar,remarkably similar
renew,interest,renew interest
renewable,energy,renewable energy
report,datum,report datum
report,finding,report finding
representative,government,representative government
require,consideration,require consideration
require,knowledge,require knowledge
require,resource,require resource
research,effort,research effort
research,evidence,research evidence
research,finding,research finding
research,methodology,research methodology
research,purpose,research purpose
research,topic,research topic
resolve,conflict,resolve conflict
resolve,dispute,resolve dispute
respond,appropriately,respond appropriately
review,study,review study
revise,edition,revise edition
revise,version,revise version
rich,source,rich source
rise,cost,rise cost
risk,assessment,risk assessment
roughly,equal,roughly equal
roughly,equivalent,roughly equivalent
rule,class,rule class
rule,party,rule party
rural,area,rural area
rural,community,rural community
rural,economy,rural economy
rural,population,rural population
rural,society,rural society
safe,sex,safe sex
salient,characteristic,salient characteristic
salient,feature,salient feature
scarce,resource,scarce resource
schematic,representation,schematic representation
scholarly,journal,scholarly journal
scholarly,literature,scholarly literature
scholarly,research,scholarly research
scholarly,work,scholarly work
scientific,community,scientific community
scientific,discourse,scientific discourse
scientific,evidence,scientific evidence
scientific,investigation,scientific investigation
scientific,method,scientific method
scientific,objectivity,scientific objectivity
scientific,research,scientific research
scientific,theory,scientific theory
secondary,datum,secondary datum
secondary,education,secondary education
secondary,source,secondary source
security,policy,security policy
seek,help,seek help
seek,information,seek information
seem,appropriate,seem appropriate
seem,obvious,seem obvious
seem,plausible,seem plausible
seem,unlikely,seem unlikely
seminal,study,seminal study
seminal,work,seminal work
senior,management,senior management
separate,entity,separate entity
serious,challenge,serious challenge
serious,consequence,serious consequence
serious,offence,serious offence
serve,function,serve function
service,sector,service sector
set,agenda,set agenda
set,goal,set goal
set,objective,set objective
set,parameter,set parameter
set,target,set target
sexual,abuse,sexual abuse
sexual,act,sexual act
sexual,behaviour,sexual behaviour
sexual,contact,sexual contact
sexual,difference,sexual difference
sexual,exploitation,sexual exploitation
sexual,identity,sexual identity
sexual,intercourse,sexual intercourse
sexual,orientation,sexual orientation
sexual,violence,sexual violence
share,experience,share experience
share,information,share information
share,meaning,share meaning
share,value,share value
sharp,contrast,sharp contrast
sharp,distinction,sharp distinction
shift,emphasis,shift emphasis
short,duration,short duration
short,period,short period
show,evidence,show evidence
show,tendency,show tendency
show,trend,show trend
show,variation,show variation
sign,treaty,sign treaty
significant,amount,significant amount
significant,change,significant change
significant,contribution,significant contribution
significant,correlation,significant correlation
significant,correlation,significant correlation
significant,degree,significant degree
significant,development,significant development
significant,difference,significant difference
significant,effect,significant effect
significant,factor,significant factor
significant,feature,significant feature
significant,figure,significant figure
significant,growth,significant growth
significant,impact,significant impact
significant,improvement,significant improvement
significant,increase,significant increase
significant,influence,significant influence
significant,interaction,significant interaction
significant,number,significant number
significant,part,significant part
significant,portion,significant portion
significant,proportion,significant proportion
significant,reduction,significant reduction
significant,relationship,significant relationship
significant,role,significant role
significant,shift,significant shift
significant,variation,significant variation
significantly,high,significantly high
similar,approach,similar approach
similar,argument,similar argument
similar,characteristic,similar characteristic
similar,effect,similar effect
similar,issue,similar issue
similar,pattern,similar pattern
similar,property,similar property
similar,result,similar result
similar,situation,similar situation
simple,majority,simple majority
simplify,version,simplify version
single,currency,single currency
single,element,single element
single,entity,single entity
single,individual,single individual
single,issue,single issue
single,source,single source
single,variable,single variable
skilled,worker,skilled worker
slightly,different,slightly different
slightly,high,slightly high
slow,process,slow process
small,fraction,small fraction
small,minority,small minority
small,percentage,small percentage
small,portion,small portion
small,proportion,small proportion
small,quantity,small quantity
social,activity,social activity
social,aspect,social aspect
social,attitude,social attitude
social,background,social background
social,behaviour,social behaviour
social,circumstance,social circumstance
social,conflict,social conflict
social,consequence,social consequence
social,construct,social construct
social,contact,social contact
social,context,social context
social,democracy,social democracy
social,dimension,social dimension
social,environment,social environment
social,equality,social equality
social,exclusion,social exclusion
social,expectation,social expectation
social,factor,social factor
social,function,social function
social,identity,social identity
social,implication,social implication
social,inequality,social inequality
social,institution,social institution
social,integration,social integration
social,interaction,social interaction
social,isolation,social isolation
social,mobility,social mobility
social,movement,social movement
social,norm,social norm
social,organization,social organization
social,phenomenon,social phenomenon
social,policy,social policy
social,reform,social reform
social,relationship,social relationship
social,responsibility,social responsibility
social,set,social set
social,significance,social significance
social,status,social status
social,structure,social structure
social,theory,social theory
social,transformation,social transformation
social,trend,social trend
social,welfare,social welfare
socially,acceptable,socially acceptable
socially,desirable,socially desirable
socially,responsible,socially responsible
socioeconomic,status,socioeconomic status
solar,energy,solar energy
solar,panel,solar panel
solar,power,solar power
solar,system,solar system
source,material,source material
sovereign,state,sovereign state
special,circumstance,special circumstance
special,emphasis,special emphasis
special,issue,special issue
special,relationship,special relationship
special,status,special status
specific,area,specific area
specific,aspect,specific aspect
specific,case,specific case
specific,characteristic,specific characteristic
specific,context,specific context
specific,example,specific example
specific,factor,specific factor
specific,feature,specific feature
specific,focus,specific focus
specific,form,specific form
specific,function,specific function
specific,information,specific information
specific,issue,specific issue
specific,knowledge,specific knowledge
specific,meaning,specific meaning
specific,need,specific need
specific,problem,specific problem
specific,purpose,specific purpose
specific,question,specific question
specific,reference,specific reference
specific,sense,specific sense
specific,type,specific type
standard,approach,standard approach
standard,error,standard error
standard,format,standard format
standard,method,standard method
stark,contrast,stark contrast
start,process,start process
state,explicitly,state explicitly
state,sector,state sector
statistical,analysis,statistical analysis
statistical,datum,statistical datum
statistical,information,statistical information
statistical,method,statistical method
statistical,significance,statistical significance
statistical,technique,statistical technique
statistical,test,statistical test
statistically,significant,statistically significant
store,datum,store datum
store,information,store information
strategic,decision,strategic decision
strategic,importance,strategic importance
strategic,management,strategic management
strategic,objective,strategic objective
strategic,planning,strategic planning
stress,level,stress level
strike,contrast,strike contrast
strike,example,strike example
strike,feature,strike feature
strong,bond,strong bond
strong,correlation,strong correlation
strong,emphasis,strong emphasis
strong,evidence,strong evidence
strong,link,strong link
strong,reaction,strong reaction
strong,relationship,strong relationship
strong,tendency,strong tendency
structural,adjustment,structural adjustment
structural,change,structural change
structural,element,structural element
structural,feature,structural feature
structural,property,structural property
subject,area,subject area
subsequent,analysis,subsequent analysis
subsequent,chapter,subsequent chapter
subsequent,development,subsequent development
subsequent,study,subsequent study
subsequent,work,subsequent work
substantial,amount,substantial amount
substantial,difference,substantial difference
substantial,evidence,substantial evidence
substantial,number,substantial number
substantial,part,substantial part
substantially,different,substantially different
successful,implementation,successful implementation
sufficient,condition,sufficient condition
sufficient,detail,sufficient detail
sufficient,evidence,sufficient evidence
sufficient,information,sufficient information
sufficient,resource,sufficient resource
superior,performance,superior performance
support,argument,support argument
support,evidence,support evidence
survey,datum,survey datum
symbiotic,relationship,symbiotic relationship
systematic,analysis,systematic analysis
systematic,approach,systematic approach
systematic,study,systematic study
tacit,knowledge,tacit knowledge
take,approach,take approach
take,initiative,take initiative
take,precedence,take precedence
take,responsibility,take responsibility
take,role,take role
takeinto,consideration,takeinto consideration
takeonrole,role,takeonrole role
takeup,role,takeup role
target,audience,target audience
teaching,strategy,teaching strategy
technical,aspect,technical aspect
technical,assistance,technical assistance
technical,detail,technical detail
technical,expertise,technical expertise
technical,issue,technical issue
technical,knowledge,technical knowledge
technical,problem,technical problem
technical,skill,technical skill
technical,support,technical support
technical,term,technical term
technological,advance,technological advance
technological,change,technological change
technological,development,technological development
technological,innovation,technological innovation
technological,progress,technological progress
test,score,test score
test,theory,test theory
textual,analysis,textual analysis
thematic,analysis,thematic analysis
theoretical,analysis,theoretical analysis
theoretical,approach,theoretical approach
theoretical,basis,theoretical basis
theoretical,concept,theoretical concept
theoretical,debate,theoretical debate
theoretical,framework,theoretical framework
theoretical,issue,theoretical issue
theoretical,model,theoretical model
theoretical,perspective,theoretical perspective
theoretical,study,theoretical study
theoretical,understanding,theoretical understanding
theoretical,work,theoretical work
think,differently,think differently
think,process,think process
think,process,think process
third,party,third party
top,management,top management
total,income,total income
totally,different,totally different
traditional,approach,traditional approach
traditional,culture,traditional culture
traditional,form,traditional form
traditional,method,traditional method
traditional,practice,traditional practice
traditional,research,traditional research
traditional,society,traditional society
traditional,value,traditional value
traditional,view,traditional view
transferable,skill,transferable skill
transmit,datum,transmit datum
transmit,information,transmit information
transport,system,transport system
treat,differently,treat differently
treat,equally,treat equally
typical,example,typical example
ultimate,goal,ultimate goal
undergo,transformation,undergo transformation
underlie,assumption,underlie assumption
underlie,cause,underlie cause
underlie,principle,underlie principle
underlie,process,underlie process
underlie,reason,underlie reason
underlie,structure,underlie structure
undertake,activity,undertake activity
undertake,research,undertake research
undertake,work,undertake work
unequal,power,unequal power
unfair,treatment,unfair treatment
unintende,consequence,unintende consequence
unique,individual,unique individual
unique,opportunity,unique opportunity
unique,position,unique position
unlimited,access,unlimited access
unskille,worker,unskille worker
urban,area,urban area
urban,centre,urban centre
urban,design,urban design
urban,development,urban development
urban,environment,urban environment
use,analysis,use analysis
use,approach,use approach
use,criterion,use criterion
use,definition,use definition
use,effectively,use effectively
use,format,use format
use,method,use method
use,methodology,use methodology
use,procedure,use procedure
use,resource,use resource
use,source,use source
use,sparingly,use sparingly
use,statistic,use statistic
use,strategy,use strategy
use,technique,use technique
use,theory,use theory
useconcept,concept,useconcept concept
usedata,datum,usedata datum
useful,information,useful information
useful,material,useful material
useful,mean,useful mean
useful,source,useful source
useful,summary,useful summary
useful,tool,useful tool
valid,argument,valid argument
valuable,information,valuable information
valuable,resource,valuable resource
various,aspect,various aspect
vary,considerably,vary considerably
vary,degree,vary degree
vary,greatly,vary greatly
vary,significantly,vary significantly
vary,widely,vary widely
vast,amount,vast amount
vast,area,vast area
vast,array,vast array
vast,majority,vast majority
vast,number,vast number
vast,quantity,vast quantity
vast,range,vast range
verbal,communication,verbal communication
verbal,language,verbal language
vest,interest,vest interest
virtual,community,virtual community
virtually,impossible,virtually impossible
visual,image,visual image
visual,medium,visual medium
visual,perception,visual perception
visual,representation,visual representation
vital,importance,vital importance
vital,part,vital part
vital,role,vital role
vulnerable,group,vulnerable group
welfare,reform,welfare reform
well,aware,well aware
western,democracy,western democracy
western,society,western society
western,tradition,western tradition
whole,area,whole area
whole,period,whole period
whole,range,whole range
wide,area,wide area
wide,array,wide array
wide,range,wide range
wide,variation,wide variation
widely,available,widely available
widely,different,widely different
wider,audience,wider audience
wider,community,wider community
wider,context,wider context
wider,implication,wider implication
wider,issue,wider issue
wider,public,wider public
wider,society,wider society
widespread,acceptance,widespread acceptance
widespread,belief,widespread belief
widespread,support,widespread support
widespread,use,widespread use
work,effectively,work effectively
write,comment,write comment
write,communication,write communication
write,statement,write statement
young,generation,young generation
