,description,img,label
OWLClass_000835,Missing description...,img/terrestrial biomes.jpg,terrestrial biomes
OWLClass_000836,"A coastline or a seashore is the area where land meets the sea or ocean, or a line that forms the boundary between the land and the ocean or a lake. A precise line that can be called a coastline cannot be determined due to the Coastline paradox. The term coastal zone is a region where interaction of the sea and land processes occurs. Both the terms coast and coastal are often used to describe a geographic location or region; for example, New Zealand's West Coast, or the East and West Coasts of the United States. Edinburgh for example is a city on the coast of Scotland. A pelagic coast refers to a coast which fronts the open ocean, as opposed to a more sheltered coast in a gulf or bay. A shore, on the other hand, can refer to parts of land adjoining any large body of water, including oceans (sea shore) and lakes (lake shore). Similarly, the somewhat related term ""[stream bed/bank]"" refers to the land alongside or sloping down to a river (riverbank) or body of water smaller than a lake. ""Bank"" is also used in some parts of the world to refer to an artificial ridge of earth intended to retain the water of a river or pond; in other places this may be called a levee. While many scientific experts might agree on a common definition of the term ""coast"", the delineation of the extents of a coast differ according to jurisdiction, with many scientific and government authorities in various countries differing for economic and social policy reasons. According to the UN atlas, 44% of people live within 150 kilometres (93 miles) of the sea.",img/coastal.jpg,coastal
OWLClass_000837,"A coastline or a seashore is the area where land meets the sea or ocean, or a line that forms the boundary between the land and the ocean or a lake. A precise line that can be called a coastline cannot be determined due to the Coastline paradox. The term coastal zone is a region where interaction of the sea and land processes occurs. Both the terms coast and coastal are often used to describe a geographic location or region; for example, New Zealand's West Coast, or the East and West Coasts of the United States. Edinburgh for example is a city on the coast of Scotland. A pelagic coast refers to a coast which fronts the open ocean, as opposed to a more sheltered coast in a gulf or bay. A shore, on the other hand, can refer to parts of land adjoining any large body of water, including oceans (sea shore) and lakes (lake shore). Similarly, the somewhat related term ""[stream bed/bank]"" refers to the land alongside or sloping down to a river (riverbank) or body of water smaller than a lake. ""Bank"" is also used in some parts of the world to refer to an artificial ridge of earth intended to retain the water of a river or pond; in other places this may be called a levee. While many scientific experts might agree on a common definition of the term ""coast"", the delineation of the extents of a coast differ according to jurisdiction, with many scientific and government authorities in various countries differing for economic and social policy reasons. According to the UN atlas, 44% of people live within 150 kilometres (93 miles) of the sea.",img/wet coastal ecosystems.jpg,wet coastal ecosystems
OWLClass_000838,"A coastline or a seashore is the area where land meets the sea or ocean, or a line that forms the boundary between the land and the ocean or a lake. A precise line that can be called a coastline cannot be determined due to the Coastline paradox. The term coastal zone is a region where interaction of the sea and land processes occurs. Both the terms coast and coastal are often used to describe a geographic location or region; for example, New Zealand's West Coast, or the East and West Coasts of the United States. Edinburgh for example is a city on the coast of Scotland. A pelagic coast refers to a coast which fronts the open ocean, as opposed to a more sheltered coast in a gulf or bay. A shore, on the other hand, can refer to parts of land adjoining any large body of water, including oceans (sea shore) and lakes (lake shore). Similarly, the somewhat related term ""[stream bed/bank]"" refers to the land alongside or sloping down to a river (riverbank) or body of water smaller than a lake. ""Bank"" is also used in some parts of the world to refer to an artificial ridge of earth intended to retain the water of a river or pond; in other places this may be called a levee. While many scientific experts might agree on a common definition of the term ""coast"", the delineation of the extents of a coast differ according to jurisdiction, with many scientific and government authorities in various countries differing for economic and social policy reasons. According to the UN atlas, 44% of people live within 150 kilometres (93 miles) of the sea.",img/dry coastal ecosystems.jpg,dry coastal ecosystems
OWLClass_000839,"In physical geography, tundra is a type of biome where the tree growth is hindered by low temperatures and short growing seasons. There are three types of tundra: Arctic tundra, alpine tundra, and Antarctic tundra. In tundra, the vegetation is composed of dwarf shrubs, sedges and grasses, mosses, and lichens. Scattered trees grow in some tundra regions. The ecotone (or ecological boundary region) between the tundra and the forest is known as the tree line or timberline.",img/tundra.jpg,tundra
OWLClass_000840,"In physical geography, tundra is a type of biome where the tree growth is hindered by low temperatures and short growing seasons. There are three types of tundra: Arctic tundra, alpine tundra, and Antarctic tundra. In tundra, the vegetation is composed of dwarf shrubs, sedges and grasses, mosses, and lichens. Scattered trees grow in some tundra regions. The ecotone (or ecological boundary region) between the tundra and the forest is known as the tree line or timberline.",img/polar tundra.jpg,polar tundra
OWLClass_000841,"In physical geography, tundra is a type of biome where the tree growth is hindered by low temperatures and short growing seasons. There are three types of tundra: Arctic tundra, alpine tundra, and Antarctic tundra. In tundra, the vegetation is composed of dwarf shrubs, sedges and grasses, mosses, and lichens. Scattered trees grow in some tundra regions. The ecotone (or ecological boundary region) between the tundra and the forest is known as the tree line or timberline.",img/alpine tundra.jpg,alpine tundra
OWLClass_000842,"A mire is a wetland type, dominated by living, peat-forming plants. Mires arise because of incomplete decomposition of organic matter, due to waterlogging and subsequent anoxia. Like coral reefs, mires are unusual landforms in that they derive mostly from biological rather than physical processes, and can take on characteristic shapes and surface patterning. There are four types of mire: bog, fen, marsh and swamp. A bog is a mire that due to its location relative to the surrounding landscape obtains most of its water from rainfall (ombrotrophic), while a fen is located on a slope, flat, or depression and gets most of its water from soil- or groundwater (minerotrophic). Thus while a bog is always acidic and nutrient-poor, a fen may be slightly acidic, neutral, or alkaline, and either nutrient-poor or nutrient-rich. Although marshes are wetlands within which vegetation is rooted in mineral soil, some marshes form shallow peat deposits: these should be considered mires. Swamps are characterized by their forest canopy and, like fens, are typically of higher pH and nutrient availability than bogs. Some bogs and fens can support limited shrub or tree growth on hummocks. For botanists and ecologists, the term peatland is a more general term for any terrain dominated by peat to a depth of at least 30 cm (12 in), even if it has been completely drained (i.e., a peatland can be dry, but a mire by definition must be actively forming peat). Mires are a kind of ""...living relic... [A] living skin on an ancient body"" in which successive layers of regular plant growth and decay are preserved stratigraphically with a quality of preservation unknown in other wetland environments.",img/mires.jpg,mires
OWLClass_000843,"A swamp is a wetland that is forested. Many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. Other swamps occur on the shores of large lakes. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation. The two main types of swamp are ""true"" or swamp forests and ""transitional"" or shrub swamps. In the boreal regions of Canada, the word swamp is colloquially used for what is more correctly termed a bog or muskeg. The water of a swamp may be fresh water, brackish water or seawater. Some of the world's largest swamps are found along major rivers such as the Amazon, the Mississippi, and the Congo.",img/swamp.jpg,swamp
OWLClass_000844,"A bog is a wetland that accumulates peat, a deposit of dead plant material -- often mosses, and in a majority of cases, sphagnum moss. It is one of the four main types of wetlands. Other names for bogs include mire, quagmire, and muskeg; alkaline mires are called fens. They are frequently covered in ericaceous shrubs rooted in the sphagnum moss and peat. The gradual accumulation of decayed plant material in a bog functions as a carbon sink. Bogs occur where the water at the ground surface is acidic and low in nutrients. In some cases, the water is derived entirely from precipitation, in which case they are termed ombrotrophic (rain-fed). Water flowing out of bogs has a characteristic brown colour, which comes from dissolved peat tannins. In general, the low fertility and cool climate results in relatively slow plant growth, but decay is even slower owing to the saturated soil. Hence peat accumulates. Large areas of landscape can be covered many metres deep in peat. Bogs have distinctive assemblages of animal, fungal and plant species, and are of high importance for biodiversity, particularly in landscapes that are otherwise settled and farmed.",img/bog.jpg,bog
OWLClass_000845,"A fen is one of the main types of wetland, the others being grassy marshes, forested swamps, and peaty bogs. Along with bogs, fens are a kind of mire. Fens are minerotrophic peatlands, usually fed by mineral-rich surface water or groundwater. They are characterised by their distinct water chemistry, which is pH neutral or alkaline, with relatively high dissolved mineral levels but few other plant nutrients. They are usually dominated by grasses and sedges, and typically have brown mosses in general including Scorpidium or Drepanocladus. Fens frequently have a high diversity of other plant species including carnivorous plants such as Pinguicula. They may also occur along large lakes and rivers where seasonal changes in water level maintain wet soils with few woody plants. The distribution of individual species of fen plants is often closely connected to water regimes and nutrient concentrations. Fens have a characteristic set of plant species, which sometimes provide the best indicators of environmental conditions. For example, fen indicator species in New York State include Carex flava, Cladium mariscoides, Potentilla fruticosa, Pogonia ophioglossoides and Parnassia glauca. Fens are distinguished from bogs, which are acidic, low in minerals, and usually dominated by sedges and shrubs, along with abundant mosses in the genus Sphagnum. Bogs also tend to exist on dome-shaped landmasses where they receive almost all of their usually-abundant moisture from rainfall, whereas fens appear on slopes, flats, or depressions and are fed by surface and underground water in addition to rain. Fens have been damaged in the past by land drainage, and also by peat cutting. Some are now being carefully restored with modern management methods. The principal challenges are to restore natural water flow regimes, to maintain the quality of water, and to prevent invasion by woody plants.",img/fen.jpg,fen
OWLClass_000846,"Moorland or moor is a type of habitat found in upland areas in temperate grasslands, savannas, and shrublands and montane grasslands and shrublands biomes, characterised by low-growing vegetation on acidic soils. Moorland nowadays generally means uncultivated hill land (such as Dartmoor in South West England), but includes low-lying wetlands (such as Sedgemoor, also South West England). It is closely related to heath although experts disagree on precisely what distinguishes the types of vegetation. Generally, moor refers to highland, high rainfall zones, whereas heath refers to lowland zones which are more likely to be the result of human activity. Moorland habitats mostly occur in the neotropics and tropical Africa, northern and western Europe and South America. Most of the world's moorlands are very diverse ecosystems. In the extensive moorlands of the tropics biodiversity can be extremely high. Moorland also bears a relationship to tundra (where the subsoil is permafrost or permanently frozen soil), appearing as the tundra retreats and inhabiting the area between the permafrost and the natural tree zone. The boundary between tundra and moorland constantly shifts with climate change.",img/moor.jpg,moor
OWLClass_000847,"A desert is a barren area of landscape where little precipitation occurs and consequently living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation. About one third of the land surface of the world is arid or semi-arid. This includes much of the polar regions where little precipitation occurs and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location. Deserts are formed by weathering processes as large variations in temperature between day and night put strains on the rocks which consequently break in pieces. Although rain seldom occurs in deserts, there are occasional downpours that can result in flash floods. Rain falling on hot rocks can cause them to shatter and the resulting fragments and rubble strewn over the desert floor is further eroded by the wind. This picks up particles of sand and dust and wafts them aloft in sand or dust storms. Wind-blown sand grains striking any solid object in their path can abrade the surface. Rocks are smoothed down, and the wind sorts sand into uniform deposits. The grains end up as level sheets of sand or are piled high in billowing sand dunes. Other deserts are flat, stony plains where all the fine material has been blown away and the surface consists of a mosaic of smooth stones. These areas are known as desert pavements and little further erosion takes place. Other desert features include rock outcrops, exposed bedrock and clays once deposited by flowing water. Temporary lakes may form and salt pans may be left when waters evaporate. There may be underground sources of water in the form of springs and seepages from aquifers. Where these are found, oases can occur. Plants and animals living in the desert need special adaptations to survive in the harsh environment. Plants tend to be tough and wiry with small or no leaves, water-resistant cuticles and often spines to deter herbivory. Some annual plants germinate, bloom and die in the course of a few weeks after rainfall while other long-lived plants survive for years and have deep root systems able to tap underground moisture. Animals need to keep cool and find enough food and water to survive. Many are nocturnal and stay in the shade or underground during the heat of the day. They tend to be efficient at conserving water, extracting most of their needs from their food and concentrating their urine. Some animals remain in a state of dormancy for long periods, ready to become active again when the rare rains fall. They then reproduce rapidly while conditions are favorable before returning to dormancy. People have struggled to live in deserts and the surrounding semi-arid lands for millennia. Nomads have moved their flocks and herds to wherever grazing is available and oases have provided opportunities for a more settled way of life. The cultivation of semi-arid regions encourages erosion of soil and is one of the causes of increased desertification. Desert farming is possible with the aid of irrigation and the Imperial Valley in California provides an example of how previously barren land can be made productive by the import of water from an outside source. Many trade routes have been forged across deserts, especially across the Sahara Desert, and traditionally were used by caravans of camels carrying salt, gold, ivory and other goods. Large numbers of slaves were also taken northwards across the Sahara. Some mineral extraction also takes place in deserts and the uninterrupted sunlight gives potential for the capture of large quantities of solar energy.",img/deserts.jpg,deserts
OWLClass_000848,"A desert is a barren area of landscape where little precipitation occurs and consequently living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation. About one third of the land surface of the world is arid or semi-arid. This includes much of the polar regions where little precipitation occurs and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location. Deserts are formed by weathering processes as large variations in temperature between day and night put strains on the rocks which consequently break in pieces. Although rain seldom occurs in deserts, there are occasional downpours that can result in flash floods. Rain falling on hot rocks can cause them to shatter and the resulting fragments and rubble strewn over the desert floor is further eroded by the wind. This picks up particles of sand and dust and wafts them aloft in sand or dust storms. Wind-blown sand grains striking any solid object in their path can abrade the surface. Rocks are smoothed down, and the wind sorts sand into uniform deposits. The grains end up as level sheets of sand or are piled high in billowing sand dunes. Other deserts are flat, stony plains where all the fine material has been blown away and the surface consists of a mosaic of smooth stones. These areas are known as desert pavements and little further erosion takes place. Other desert features include rock outcrops, exposed bedrock and clays once deposited by flowing water. Temporary lakes may form and salt pans may be left when waters evaporate. There may be underground sources of water in the form of springs and seepages from aquifers. Where these are found, oases can occur. Plants and animals living in the desert need special adaptations to survive in the harsh environment. Plants tend to be tough and wiry with small or no leaves, water-resistant cuticles and often spines to deter herbivory. Some annual plants germinate, bloom and die in the course of a few weeks after rainfall while other long-lived plants survive for years and have deep root systems able to tap underground moisture. Animals need to keep cool and find enough food and water to survive. Many are nocturnal and stay in the shade or underground during the heat of the day. They tend to be efficient at conserving water, extracting most of their needs from their food and concentrating their urine. Some animals remain in a state of dormancy for long periods, ready to become active again when the rare rains fall. They then reproduce rapidly while conditions are favorable before returning to dormancy. People have struggled to live in deserts and the surrounding semi-arid lands for millennia. Nomads have moved their flocks and herds to wherever grazing is available and oases have provided opportunities for a more settled way of life. The cultivation of semi-arid regions encourages erosion of soil and is one of the causes of increased desertification. Desert farming is possible with the aid of irrigation and the Imperial Valley in California provides an example of how previously barren land can be made productive by the import of water from an outside source. Many trade routes have been forged across deserts, especially across the Sahara Desert, and traditionally were used by caravans of camels carrying salt, gold, ivory and other goods. Large numbers of slaves were also taken northwards across the Sahara. Some mineral extraction also takes place in deserts and the uninterrupted sunlight gives potential for the capture of large quantities of solar energy.",img/semi-arid deserts.jpg,semi-arid deserts
OWLClass_000849,"A desert is a barren area of landscape where little precipitation occurs and consequently living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation. About one third of the land surface of the world is arid or semi-arid. This includes much of the polar regions where little precipitation occurs and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location. Deserts are formed by weathering processes as large variations in temperature between day and night put strains on the rocks which consequently break in pieces. Although rain seldom occurs in deserts, there are occasional downpours that can result in flash floods. Rain falling on hot rocks can cause them to shatter and the resulting fragments and rubble strewn over the desert floor is further eroded by the wind. This picks up particles of sand and dust and wafts them aloft in sand or dust storms. Wind-blown sand grains striking any solid object in their path can abrade the surface. Rocks are smoothed down, and the wind sorts sand into uniform deposits. The grains end up as level sheets of sand or are piled high in billowing sand dunes. Other deserts are flat, stony plains where all the fine material has been blown away and the surface consists of a mosaic of smooth stones. These areas are known as desert pavements and little further erosion takes place. Other desert features include rock outcrops, exposed bedrock and clays once deposited by flowing water. Temporary lakes may form and salt pans may be left when waters evaporate. There may be underground sources of water in the form of springs and seepages from aquifers. Where these are found, oases can occur. Plants and animals living in the desert need special adaptations to survive in the harsh environment. Plants tend to be tough and wiry with small or no leaves, water-resistant cuticles and often spines to deter herbivory. Some annual plants germinate, bloom and die in the course of a few weeks after rainfall while other long-lived plants survive for years and have deep root systems able to tap underground moisture. Animals need to keep cool and find enough food and water to survive. Many are nocturnal and stay in the shade or underground during the heat of the day. They tend to be efficient at conserving water, extracting most of their needs from their food and concentrating their urine. Some animals remain in a state of dormancy for long periods, ready to become active again when the rare rains fall. They then reproduce rapidly while conditions are favorable before returning to dormancy. People have struggled to live in deserts and the surrounding semi-arid lands for millennia. Nomads have moved their flocks and herds to wherever grazing is available and oases have provided opportunities for a more settled way of life. The cultivation of semi-arid regions encourages erosion of soil and is one of the causes of increased desertification. Desert farming is possible with the aid of irrigation and the Imperial Valley in California provides an example of how previously barren land can be made productive by the import of water from an outside source. Many trade routes have been forged across deserts, especially across the Sahara Desert, and traditionally were used by caravans of camels carrying salt, gold, ivory and other goods. Large numbers of slaves were also taken northwards across the Sahara. Some mineral extraction also takes place in deserts and the uninterrupted sunlight gives potential for the capture of large quantities of solar energy.",img/temperate deserts.jpg,temperate deserts
OWLClass_000850,"A desert is a barren area of landscape where little precipitation occurs and consequently living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation. About one third of the land surface of the world is arid or semi-arid. This includes much of the polar regions where little precipitation occurs and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location. Deserts are formed by weathering processes as large variations in temperature between day and night put strains on the rocks which consequently break in pieces. Although rain seldom occurs in deserts, there are occasional downpours that can result in flash floods. Rain falling on hot rocks can cause them to shatter and the resulting fragments and rubble strewn over the desert floor is further eroded by the wind. This picks up particles of sand and dust and wafts them aloft in sand or dust storms. Wind-blown sand grains striking any solid object in their path can abrade the surface. Rocks are smoothed down, and the wind sorts sand into uniform deposits. The grains end up as level sheets of sand or are piled high in billowing sand dunes. Other deserts are flat, stony plains where all the fine material has been blown away and the surface consists of a mosaic of smooth stones. These areas are known as desert pavements and little further erosion takes place. Other desert features include rock outcrops, exposed bedrock and clays once deposited by flowing water. Temporary lakes may form and salt pans may be left when waters evaporate. There may be underground sources of water in the form of springs and seepages from aquifers. Where these are found, oases can occur. Plants and animals living in the desert need special adaptations to survive in the harsh environment. Plants tend to be tough and wiry with small or no leaves, water-resistant cuticles and often spines to deter herbivory. Some annual plants germinate, bloom and die in the course of a few weeks after rainfall while other long-lived plants survive for years and have deep root systems able to tap underground moisture. Animals need to keep cool and find enough food and water to survive. Many are nocturnal and stay in the shade or underground during the heat of the day. They tend to be efficient at conserving water, extracting most of their needs from their food and concentrating their urine. Some animals remain in a state of dormancy for long periods, ready to become active again when the rare rains fall. They then reproduce rapidly while conditions are favorable before returning to dormancy. People have struggled to live in deserts and the surrounding semi-arid lands for millennia. Nomads have moved their flocks and herds to wherever grazing is available and oases have provided opportunities for a more settled way of life. The cultivation of semi-arid regions encourages erosion of soil and is one of the causes of increased desertification. Desert farming is possible with the aid of irrigation and the Imperial Valley in California provides an example of how previously barren land can be made productive by the import of water from an outside source. Many trade routes have been forged across deserts, especially across the Sahara Desert, and traditionally were used by caravans of camels carrying salt, gold, ivory and other goods. Large numbers of slaves were also taken northwards across the Sahara. Some mineral extraction also takes place in deserts and the uninterrupted sunlight gives potential for the capture of large quantities of solar energy.",img/semi-deserts.jpg,semi-deserts
OWLClass_000851,"A desert is a barren area of landscape where little precipitation occurs and consequently living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation. About one third of the land surface of the world is arid or semi-arid. This includes much of the polar regions where little precipitation occurs and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location. Deserts are formed by weathering processes as large variations in temperature between day and night put strains on the rocks which consequently break in pieces. Although rain seldom occurs in deserts, there are occasional downpours that can result in flash floods. Rain falling on hot rocks can cause them to shatter and the resulting fragments and rubble strewn over the desert floor is further eroded by the wind. This picks up particles of sand and dust and wafts them aloft in sand or dust storms. Wind-blown sand grains striking any solid object in their path can abrade the surface. Rocks are smoothed down, and the wind sorts sand into uniform deposits. The grains end up as level sheets of sand or are piled high in billowing sand dunes. Other deserts are flat, stony plains where all the fine material has been blown away and the surface consists of a mosaic of smooth stones. These areas are known as desert pavements and little further erosion takes place. Other desert features include rock outcrops, exposed bedrock and clays once deposited by flowing water. Temporary lakes may form and salt pans may be left when waters evaporate. There may be underground sources of water in the form of springs and seepages from aquifers. Where these are found, oases can occur. Plants and animals living in the desert need special adaptations to survive in the harsh environment. Plants tend to be tough and wiry with small or no leaves, water-resistant cuticles and often spines to deter herbivory. Some annual plants germinate, bloom and die in the course of a few weeks after rainfall while other long-lived plants survive for years and have deep root systems able to tap underground moisture. Animals need to keep cool and find enough food and water to survive. Many are nocturnal and stay in the shade or underground during the heat of the day. They tend to be efficient at conserving water, extracting most of their needs from their food and concentrating their urine. Some animals remain in a state of dormancy for long periods, ready to become active again when the rare rains fall. They then reproduce rapidly while conditions are favorable before returning to dormancy. People have struggled to live in deserts and the surrounding semi-arid lands for millennia. Nomads have moved their flocks and herds to wherever grazing is available and oases have provided opportunities for a more settled way of life. The cultivation of semi-arid regions encourages erosion of soil and is one of the causes of increased desertification. Desert farming is possible with the aid of irrigation and the Imperial Valley in California provides an example of how previously barren land can be made productive by the import of water from an outside source. Many trade routes have been forged across deserts, especially across the Sahara Desert, and traditionally were used by caravans of camels carrying salt, gold, ivory and other goods. Large numbers of slaves were also taken northwards across the Sahara. Some mineral extraction also takes place in deserts and the uninterrupted sunlight gives potential for the capture of large quantities of solar energy.",img/arid deserts.jpg,arid deserts
OWLClass_000852,"A desert is a barren area of landscape where little precipitation occurs and consequently living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation. About one third of the land surface of the world is arid or semi-arid. This includes much of the polar regions where little precipitation occurs and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location. Deserts are formed by weathering processes as large variations in temperature between day and night put strains on the rocks which consequently break in pieces. Although rain seldom occurs in deserts, there are occasional downpours that can result in flash floods. Rain falling on hot rocks can cause them to shatter and the resulting fragments and rubble strewn over the desert floor is further eroded by the wind. This picks up particles of sand and dust and wafts them aloft in sand or dust storms. Wind-blown sand grains striking any solid object in their path can abrade the surface. Rocks are smoothed down, and the wind sorts sand into uniform deposits. The grains end up as level sheets of sand or are piled high in billowing sand dunes. Other deserts are flat, stony plains where all the fine material has been blown away and the surface consists of a mosaic of smooth stones. These areas are known as desert pavements and little further erosion takes place. Other desert features include rock outcrops, exposed bedrock and clays once deposited by flowing water. Temporary lakes may form and salt pans may be left when waters evaporate. There may be underground sources of water in the form of springs and seepages from aquifers. Where these are found, oases can occur. Plants and animals living in the desert need special adaptations to survive in the harsh environment. Plants tend to be tough and wiry with small or no leaves, water-resistant cuticles and often spines to deter herbivory. Some annual plants germinate, bloom and die in the course of a few weeks after rainfall while other long-lived plants survive for years and have deep root systems able to tap underground moisture. Animals need to keep cool and find enough food and water to survive. Many are nocturnal and stay in the shade or underground during the heat of the day. They tend to be efficient at conserving water, extracting most of their needs from their food and concentrating their urine. Some animals remain in a state of dormancy for long periods, ready to become active again when the rare rains fall. They then reproduce rapidly while conditions are favorable before returning to dormancy. People have struggled to live in deserts and the surrounding semi-arid lands for millennia. Nomads have moved their flocks and herds to wherever grazing is available and oases have provided opportunities for a more settled way of life. The cultivation of semi-arid regions encourages erosion of soil and is one of the causes of increased desertification. Desert farming is possible with the aid of irrigation and the Imperial Valley in California provides an example of how previously barren land can be made productive by the import of water from an outside source. Many trade routes have been forged across deserts, especially across the Sahara Desert, and traditionally were used by caravans of camels carrying salt, gold, ivory and other goods. Large numbers of slaves were also taken northwards across the Sahara. Some mineral extraction also takes place in deserts and the uninterrupted sunlight gives potential for the capture of large quantities of solar energy.",img/hot deserts.jpg,hot deserts
OWLClass_000853,"A desert is a barren area of landscape where little precipitation occurs and consequently living conditions are hostile for plant and animal life. The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation. About one third of the land surface of the world is arid or semi-arid. This includes much of the polar regions where little precipitation occurs and which are sometimes called polar deserts or ""cold deserts"". Deserts can be classified by the amount of precipitation that falls, by the temperature that prevails, by the causes of desertification or by their geographical location. Deserts are formed by weathering processes as large variations in temperature between day and night put strains on the rocks which consequently break in pieces. Although rain seldom occurs in deserts, there are occasional downpours that can result in flash floods. Rain falling on hot rocks can cause them to shatter and the resulting fragments and rubble strewn over the desert floor is further eroded by the wind. This picks up particles of sand and dust and wafts them aloft in sand or dust storms. Wind-blown sand grains striking any solid object in their path can abrade the surface. Rocks are smoothed down, and the wind sorts sand into uniform deposits. The grains end up as level sheets of sand or are piled high in billowing sand dunes. Other deserts are flat, stony plains where all the fine material has been blown away and the surface consists of a mosaic of smooth stones. These areas are known as desert pavements and little further erosion takes place. Other desert features include rock outcrops, exposed bedrock and clays once deposited by flowing water. Temporary lakes may form and salt pans may be left when waters evaporate. There may be underground sources of water in the form of springs and seepages from aquifers. Where these are found, oases can occur. Plants and animals living in the desert need special adaptations to survive in the harsh environment. Plants tend to be tough and wiry with small or no leaves, water-resistant cuticles and often spines to deter herbivory. Some annual plants germinate, bloom and die in the course of a few weeks after rainfall while other long-lived plants survive for years and have deep root systems able to tap underground moisture. Animals need to keep cool and find enough food and water to survive. Many are nocturnal and stay in the shade or underground during the heat of the day. They tend to be efficient at conserving water, extracting most of their needs from their food and concentrating their urine. Some animals remain in a state of dormancy for long periods, ready to become active again when the rare rains fall. They then reproduce rapidly while conditions are favorable before returning to dormancy. People have struggled to live in deserts and the surrounding semi-arid lands for millennia. Nomads have moved their flocks and herds to wherever grazing is available and oases have provided opportunities for a more settled way of life. The cultivation of semi-arid regions encourages erosion of soil and is one of the causes of increased desertification. Desert farming is possible with the aid of irrigation and the Imperial Valley in California provides an example of how previously barren land can be made productive by the import of water from an outside source. Many trade routes have been forged across deserts, especially across the Sahara Desert, and traditionally were used by caravans of camels carrying salt, gold, ivory and other goods. Large numbers of slaves were also taken northwards across the Sahara. Some mineral extraction also takes place in deserts and the uninterrupted sunlight gives potential for the capture of large quantities of solar energy.",img/polar desert/ice sheet.jpg,polar desert/ice sheet
OWLClass_000854,"A forest is a large area dominated by trees. Hundreds of more precise definitions of forest are used throughout the world, incorporating factors such as tree density, tree height, land use, legal standing and ecological function. According to the widely used Food and Agriculture Organization definition, forests covered 4 billion hectares (15 million square miles) or approximately 30 percent of the world's land area in 2006. Forests are the dominant terrestrial ecosystem of Earth, and are distributed across the globe. Forests account for 75% of the gross primary productivity of the Earth's biosphere, and contain 80% of the Earth's plant biomass. Net primary production is estimated at 21.9 gigatonnes carbon per year for tropical forests, 8.1 for temperate forests, and 2.6 for boreal forests. Forests at different latitudes and elevations form distinctly different ecozones: boreal forests near the poles, tropical forests near the equator and temperate forests at mid-latitudes. Higher elevation areas tend to support forests similar to those at higher latitudes, and amount of precipitation also affects forest composition. Human society and forests influence each other in both positive and negative ways. Forests provide ecosystem services to humans and serve as tourist attractions. Forests can also affect people's health. Human activities, including harvesting forest resources, can negatively affect forest ecosystems.",img/forests.jpg,forests
OWLClass_000855,"Temperate coniferous forest is a terrestrial biome found in temperate regions of the world with warm summers and cool winters and adequate rainfall to sustain a forest. In most temperate coniferous forests, evergreen conifers predominate, while some are a mix of conifers and broadleaf evergreen trees and/or broadleaf deciduous trees. Temperate evergreen forests are common in the United States of America, areas of regions that have mild winters and heavy rainfall, or inland in drier climates or mountain areas. Temperate coniferous forests are found mainly in the Northern Hemisphere in North America, Europe, and Asia, but some are found in the Southern Hemisphere.. A separate ecoregion, the tropical coniferous forests, occurs in more tropical climates. Structurally, these forests are rather simple, generally consisting of two layers: an overstory and understory. Some forests may support an intermediate layer of shrubs. Pine forests support a herbaceous understory that is generally dominated by grasses and herbaceous perennials, and are often subject to ecologically important wildfires. Many species of tree inhabit these forests including cedar, cypress, Douglas fir, fir, juniper, pine, podocarpus, spruce, redwood and yew. The understory also contains a wide variety of herbaceous and shrub species.",img/coniferous forests.jpg,coniferous forests
